Código Venda;Data;ID Loja;Produto;Quantidade;Valor Unitário;Valor Final
65583;03/12/2019;Passei das Águas Shopping;Cueca;3;R$ 50,00;R$ 150,00
65583;03/12/2019;Passei das Águas Shopping;Gorro;1;R$ 80,00;R$ 80,00
65584;03/12/2019;Ribeirão Shopping;Bermuda Estampa;1;R$ 169,00;R$ 169,00
65587;03/12/2019;Shopping Recife;Camiseta;3;R$ 180,00;R$ 540,00
65588;03/12/2019;Shopping Iguatemi Fortaleza;Mochila Listrado;1;R$ 275,00;R$ 275,00
65589;03/12/2019;Shopping Vila Velha;Short Linho;1;R$ 133,00;R$ 133,00
65589;03/12/2019;Shopping Vila Velha;Polo Estampa;1;R$ 138,00;R$ 138,00
65590;03/12/2019;Passei das Águas Shopping;Cueca Linho;2;R$ 93,00;R$ 186,00
65591;03/12/2019;Shopping Morumbi;Camiseta Liso;4;R$ 187,00;R$ 748,00
65591;03/12/2019;Shopping Morumbi;Tênis Liso;1;R$ 266,00;R$ 266,00
65592;03/12/2019;Bourbon Shopping SP;Bermuda Xadrez;3;R$ 155,00;R$ 465,00
65592;03/12/2019;Bourbon Shopping SP;Bermuda Estampa;1;R$ 169,00;R$ 169,00
65592;03/12/2019;Bourbon Shopping SP;Camisa Estampa;1;R$ 113,00;R$ 113,00
65593;03/12/2019;Shopping Morumbi;Sunga Estampa;3;R$ 120,00;R$ 360,00
65594;03/12/2019;Shopping Iguatemi Fortaleza;Terno Estampa;1;R$ 706,00;R$ 706,00
65594;03/12/2019;Shopping Iguatemi Fortaleza;Camisa;2;R$ 100,00;R$ 200,00
65595;03/12/2019;Rio Mar Shopping Fortaleza;Meia Liso;1;R$ 38,00;R$ 38,00
65595;03/12/2019;Rio Mar Shopping Fortaleza;Polo Liso;1;R$ 137,00;R$ 137,00
65595;03/12/2019;Rio Mar Shopping Fortaleza;Mochila Estampa;3;R$ 277,00;R$ 831,00
65595;03/12/2019;Rio Mar Shopping Fortaleza;Relógio;1;R$ 200,00;R$ 200,00
65595;03/12/2019;Rio Mar Shopping Fortaleza;Pulseira Estampa;2;R$ 87,00;R$ 174,00
65596;03/12/2019;Shopping Midway Mall;Camisa Gola V Liso;5;R$ 118,00;R$ 590,00
65597;03/12/2019;Shopping Ibirapuera;Meia Xadrez;1;R$ 41,00;R$ 41,00
65598;03/12/2019;Bourbon Shopping SP;Sunga Listrado;2;R$ 114,00;R$ 228,00
65598;03/12/2019;Bourbon Shopping SP;Cueca Liso;2;R$ 69,00;R$ 138,00
65600;03/12/2019;Rio Mar Recife;Camisa Xadrez;1;R$ 105,00;R$ 105,00
65600;03/12/2019;Rio Mar Recife;Camisa Estampa;1;R$ 113,00;R$ 113,00
65601;03/12/2019;Shopping Vila Velha;Camisa Xadrez;3;R$ 105,00;R$ 315,00
65602;03/12/2019;Shopping Barra;Chinelo;2;R$ 60,00;R$ 120,00
65603;03/12/2019;Passei das Águas Shopping;Mochila Linho;1;R$ 311,00;R$ 311,00
65603;03/12/2019;Passei das Águas Shopping;Camisa Gola V Linho;2;R$ 145,00;R$ 290,00
65603;03/12/2019;Passei das Águas Shopping;Camisa Gola V Liso;3;R$ 118,00;R$ 354,00
65604;03/12/2019;Bourbon Shopping SP;Sunga Xadrez;2;R$ 116,00;R$ 232,00
65604;03/12/2019;Bourbon Shopping SP;Camisa Gola V Linho;2;R$ 145,00;R$ 290,00
65605;03/12/2019;Shopping Center Interlagos;Bermuda Estampa;1;R$ 169,00;R$ 169,00
65606;04/12/2019;Center Shopping Uberlândia;Camisa Listrado;2;R$ 108,00;R$ 216,00
65606;04/12/2019;Center Shopping Uberlândia;Camisa Gola V Estampa;2;R$ 118,00;R$ 236,00
65609;04/12/2019;Center Shopping Uberlândia;Pulseira Xadrez;3;R$ 87,00;R$ 261,00
65609;04/12/2019;Center Shopping Uberlândia;Casaco Xadrez;3;R$ 259,00;R$ 777,00
65609;04/12/2019;Center Shopping Uberlândia;Bermuda Xadrez;4;R$ 155,00;R$ 620,00
65609;04/12/2019;Center Shopping Uberlândia;Tênis Xadrez;4;R$ 259,00;R$ 1.036,00
65609;04/12/2019;Center Shopping Uberlândia;Camisa Linho;1;R$ 141,00;R$ 141,00
65610;04/12/2019;Rio Mar Shopping Fortaleza;Gorro Xadrez;1;R$ 85,00;R$ 85,00
65610;04/12/2019;Rio Mar Shopping Fortaleza;Bermuda Linho;4;R$ 195,00;R$ 780,00
65610;04/12/2019;Rio Mar Shopping Fortaleza;Cinto;1;R$ 200,00;R$ 200,00
65611;04/12/2019;Shopping Barra;Relógio Estampa;3;R$ 219,00;R$ 657,00
65611;04/12/2019;Shopping Barra;Camisa Xadrez;1;R$ 105,00;R$ 105,00
65611;04/12/2019;Shopping Barra;Sapato;2;R$ 350,00;R$ 700,00
65614;04/12/2019;Bourbon Shopping SP;Calça Linho;1;R$ 211,00;R$ 211,00
65614;04/12/2019;Bourbon Shopping SP;Pulseira;2;R$ 70,00;R$ 140,00
65614;04/12/2019;Bourbon Shopping SP;Pulseira Estampa;1;R$ 87,00;R$ 87,00
65615;04/12/2019;Shopping Vila Velha;Camiseta Listrado;1;R$ 197,00;R$ 197,00
65615;04/12/2019;Shopping Vila Velha;Casaco;1;R$ 250,00;R$ 250,00
65615;04/12/2019;Shopping Vila Velha;Camisa Gola V;1;R$ 100,00;R$ 100,00
65616;04/12/2019;Shopping Barra;Polo Linho;2;R$ 176,00;R$ 352,00
65617;04/12/2019;Shopping Morumbi;Casaco Linho;2;R$ 299,00;R$ 598,00
65618;04/12/2019;Shopping Ibirapuera;Camiseta;2;R$ 180,00;R$ 360,00
65618;04/12/2019;Shopping Ibirapuera;Pulseira Estampa;3;R$ 87,00;R$ 261,00
65619;04/12/2019;Shopping Center Interlagos;Sapato Linho;1;R$ 391,00;R$ 391,00
65619;04/12/2019;Shopping Center Interlagos;Terno Linho;2;R$ 750,00;R$ 1.500,00
65620;04/12/2019;Shopping Center Leste Aricanduva;Sapato;1;R$ 350,00;R$ 350,00
65621;04/12/2019;Ribeirão Shopping;Cueca;3;R$ 50,00;R$ 150,00
65621;04/12/2019;Ribeirão Shopping;Camiseta Estampa;1;R$ 196,00;R$ 196,00
65621;04/12/2019;Ribeirão Shopping;Cinto;2;R$ 200,00;R$ 400,00
65622;04/12/2019;Shopping Center Interlagos;Bermuda Estampa;2;R$ 169,00;R$ 338,00
65622;04/12/2019;Shopping Center Interlagos;Meia Liso;1;R$ 38,00;R$ 38,00
65625;04/12/2019;Rio Mar Recife;Bermuda Estampa;4;R$ 169,00;R$ 676,00
65625;04/12/2019;Rio Mar Recife;Relógio Xadrez;3;R$ 214,00;R$ 642,00
65626;04/12/2019;Parque Dom Pedro Shopping;Terno Xadrez;2;R$ 709,00;R$ 1.418,00
65626;04/12/2019;Parque Dom Pedro Shopping;Polo Linho;1;R$ 176,00;R$ 176,00
65628;04/12/2019;Norte Shopping;Casaco Estampa;1;R$ 256,00;R$ 256,00
65628;04/12/2019;Norte Shopping;Polo Linho;1;R$ 176,00;R$ 176,00
65629;04/12/2019;Center Shopping Uberlândia;Terno;4;R$ 700,00;R$ 2.800,00
65629;04/12/2019;Center Shopping Uberlândia;Camisa Estampa;4;R$ 113,00;R$ 452,00
65629;04/12/2019;Center Shopping Uberlândia;Camisa Gola V Estampa;3;R$ 118,00;R$ 354,00
65631;04/12/2019;Novo Shopping Ribeirão Preto;Sapato Linho;1;R$ 391,00;R$ 391,00
65631;04/12/2019;Novo Shopping Ribeirão Preto;Gorro Xadrez;1;R$ 85,00;R$ 85,00
65632;04/12/2019;Shopping Recife;Cinto Linho;3;R$ 248,00;R$ 744,00
65635;04/12/2019;Shopping União de Osasco;Terno Xadrez;1;R$ 709,00;R$ 709,00
65635;04/12/2019;Shopping União de Osasco;Tênis Liso;1;R$ 266,00;R$ 266,00
65635;04/12/2019;Shopping União de Osasco;Camisa Estampa;1;R$ 113,00;R$ 113,00
65636;04/12/2019;Shopping Vila Velha;Tênis;1;R$ 250,00;R$ 250,00
65636;04/12/2019;Shopping Vila Velha;Camisa Linho;2;R$ 141,00;R$ 282,00
65637;04/12/2019;Ribeirão Shopping;Polo Linho;2;R$ 176,00;R$ 352,00
65637;04/12/2019;Ribeirão Shopping;Casaco Xadrez;1;R$ 259,00;R$ 259,00
65638;04/12/2019;Salvador Shopping;Casaco;2;R$ 250,00;R$ 500,00
65638;04/12/2019;Salvador Shopping;Relógio Listrado;3;R$ 218,00;R$ 654,00
65638;04/12/2019;Salvador Shopping;Short Linho;2;R$ 133,00;R$ 266,00
65638;04/12/2019;Salvador Shopping;Pulseira Linho;1;R$ 114,00;R$ 114,00
65638;04/12/2019;Salvador Shopping;Casaco Listrado;3;R$ 269,00;R$ 807,00
65640;04/12/2019;Shopping Midway Mall;Camisa Gola V Linho;1;R$ 145,00;R$ 145,00
65640;04/12/2019;Shopping Midway Mall;Terno;2;R$ 700,00;R$ 1.400,00
65641;04/12/2019;Shopping Ibirapuera;Tênis Linho;3;R$ 294,00;R$ 882,00
65642;04/12/2019;Shopping Iguatemi Fortaleza;Camisa Gola V Xadrez;1;R$ 107,00;R$ 107,00
65643;04/12/2019;Shopping Iguatemi Fortaleza;Pulseira Xadrez;4;R$ 87,00;R$ 348,00
65645;04/12/2019;Passei das Águas Shopping;Casaco Xadrez;1;R$ 259,00;R$ 259,00
65646;04/12/2019;Iguatemi Campinas;Calça Listrado;1;R$ 181,00;R$ 181,00
65647;04/12/2019;Shopping Vila Velha;Bermuda;2;R$ 150,00;R$ 300,00
65647;04/12/2019;Shopping Vila Velha;Camisa Gola V Xadrez;2;R$ 107,00;R$ 214,00
65647;04/12/2019;Shopping Vila Velha;Casaco Liso;2;R$ 255,00;R$ 510,00
65647;04/12/2019;Shopping Vila Velha;Pulseira;1;R$ 70,00;R$ 70,00
65648;04/12/2019;Shopping Morumbi;Camisa Gola V Linho;3;R$ 145,00;R$ 435,00
65649;04/12/2019;Shopping Recife;Camiseta Xadrez;4;R$ 200,00;R$ 800,00
65650;04/12/2019;Shopping Center Interlagos;Cueca;1;R$ 50,00;R$ 50,00
65651;04/12/2019;Bourbon Shopping SP;Mochila Xadrez;2;R$ 283,00;R$ 566,00
65651;04/12/2019;Bourbon Shopping SP;Cueca Liso;3;R$ 69,00;R$ 207,00
65652;04/12/2019;Shopping União de Osasco;Sapato Liso;1;R$ 368,00;R$ 368,00
65653;04/12/2019;Shopping Barra;Calça Linho;2;R$ 211,00;R$ 422,00
65654;04/12/2019;Shopping Barra;Terno Liso;2;R$ 720,00;R$ 1.440,00
65655;04/12/2019;Shopping Midway Mall;Sunga;3;R$ 100,00;R$ 300,00
65655;04/12/2019;Shopping Midway Mall;Relógio;1;R$ 200,00;R$ 200,00
65656;04/12/2019;Shopping Eldorado;Chinelo Listrado;1;R$ 73,00;R$ 73,00
65656;04/12/2019;Shopping Eldorado;Calça Listrado;2;R$ 181,00;R$ 362,00
65657;04/12/2019;Ribeirão Shopping;Mochila Xadrez;1;R$ 283,00;R$ 283,00
65657;04/12/2019;Ribeirão Shopping;Sunga Liso;4;R$ 114,00;R$ 456,00
65658;04/12/2019;Parque Dom Pedro Shopping;Meia Xadrez;2;R$ 41,00;R$ 82,00
65659;04/12/2019;Shopping Center Leste Aricanduva;Gorro Listrado;2;R$ 97,00;R$ 194,00
65659;04/12/2019;Shopping Center Leste Aricanduva;Relógio Liso;2;R$ 216,00;R$ 432,00
65659;04/12/2019;Shopping Center Leste Aricanduva;Sunga Xadrez;1;R$ 116,00;R$ 116,00
65660;04/12/2019;Shopping Eldorado;Camisa Liso;2;R$ 105,00;R$ 210,00
65661;04/12/2019;Shopping Recife;Mochila;1;R$ 270,00;R$ 270,00
65661;04/12/2019;Shopping Recife;Polo Linho;4;R$ 176,00;R$ 704,00
65662;04/12/2019;Rio Mar Shopping Fortaleza;Mochila Linho;1;R$ 311,00;R$ 311,00
65662;04/12/2019;Rio Mar Shopping Fortaleza;Terno Listrado;1;R$ 709,00;R$ 709,00
65664;04/12/2019;Norte Shopping;Camiseta Linho;1;R$ 223,00;R$ 223,00
65665;04/12/2019;Parque Dom Pedro Shopping;Tênis Xadrez;2;R$ 259,00;R$ 518,00
65665;04/12/2019;Parque Dom Pedro Shopping;Polo Xadrez;2;R$ 142,00;R$ 284,00
65667;04/12/2019;Palladium Shopping Curitiba;Chinelo;1;R$ 60,00;R$ 60,00
65668;04/12/2019;Shopping Morumbi;Camisa Gola V Xadrez;1;R$ 107,00;R$ 107,00
65669;04/12/2019;Rio Mar Shopping Fortaleza;Calça Liso;5;R$ 190,00;R$ 950,00
65669;04/12/2019;Rio Mar Shopping Fortaleza;Meia Linho;3;R$ 78,00;R$ 234,00
65669;04/12/2019;Rio Mar Shopping Fortaleza;Sunga Estampa;3;R$ 120,00;R$ 360,00
65670;04/12/2019;Passei das Águas Shopping;Bermuda Liso;1;R$ 157,00;R$ 157,00
65671;04/12/2019;Shopping Midway Mall;Polo Linho;1;R$ 176,00;R$ 176,00
65671;04/12/2019;Shopping Midway Mall;Calça Linho;1;R$ 211,00;R$ 211,00
65673;04/12/2019;Shopping Eldorado;Chinelo Linho;3;R$ 105,00;R$ 315,00
65673;04/12/2019;Shopping Eldorado;Meia Linho;2;R$ 78,00;R$ 156,00
65673;04/12/2019;Shopping Eldorado;Polo Xadrez;1;R$ 142,00;R$ 142,00
65673;04/12/2019;Shopping Eldorado;Sunga Estampa;2;R$ 120,00;R$ 240,00
65674;04/12/2019;Norte Shopping;Calça Xadrez;2;R$ 185,00;R$ 370,00
65675;04/12/2019;Parque Dom Pedro Shopping;Terno;2;R$ 700,00;R$ 1.400,00
65676;04/12/2019;Shopping União de Osasco;Tênis Liso;1;R$ 266,00;R$ 266,00
65676;04/12/2019;Shopping União de Osasco;Terno Linho;2;R$ 750,00;R$ 1.500,00
65676;04/12/2019;Shopping União de Osasco;Meia;2;R$ 30,00;R$ 60,00
65677;04/12/2019;Iguatemi Campinas;Sapato Linho;1;R$ 391,00;R$ 391,00
65677;04/12/2019;Iguatemi Campinas;Pulseira Xadrez;2;R$ 87,00;R$ 174,00
65678;04/12/2019;Shopping Midway Mall;Terno Linho;3;R$ 750,00;R$ 2.250,00
65681;04/12/2019;Rio Mar Shopping Fortaleza;Terno Linho;2;R$ 750,00;R$ 1.500,00
65683;04/12/2019;Rio Mar Shopping Fortaleza;Polo;1;R$ 130,00;R$ 130,00
65684;04/12/2019;Passei das Águas Shopping;Casaco Linho;1;R$ 299,00;R$ 299,00
65684;04/12/2019;Passei das Águas Shopping;Camisa Xadrez;1;R$ 105,00;R$ 105,00
65685;04/12/2019;Norte Shopping;Calça Liso;4;R$ 190,00;R$ 760,00
65685;04/12/2019;Norte Shopping;Pulseira Linho;3;R$ 114,00;R$ 342,00
65685;04/12/2019;Norte Shopping;Tênis;1;R$ 250,00;R$ 250,00
65686;04/12/2019;Shopping Center Interlagos;Casaco Estampa;1;R$ 256,00;R$ 256,00
65686;04/12/2019;Shopping Center Interlagos;Mochila Liso;2;R$ 276,00;R$ 552,00
65686;04/12/2019;Shopping Center Interlagos;Calça;4;R$ 170,00;R$ 680,00
65688;04/12/2019;Shopping Vila Velha;Pulseira Estampa;3;R$ 87,00;R$ 261,00
65688;04/12/2019;Shopping Vila Velha;Gorro Liso;1;R$ 92,00;R$ 92,00
65692;04/12/2019;Shopping Ibirapuera;Sapato;2;R$ 350,00;R$ 700,00
65693;04/12/2019;Shopping Ibirapuera;Terno Linho;1;R$ 750,00;R$ 750,00
65693;04/12/2019;Shopping Ibirapuera;Mochila Estampa;3;R$ 277,00;R$ 831,00
65694;04/12/2019;Shopping Recife;Meia Xadrez;1;R$ 41,00;R$ 41,00
65695;04/12/2019;Rio Mar Recife;Pulseira Listrado;3;R$ 79,00;R$ 237,00
65696;04/12/2019;Novo Shopping Ribeirão Preto;Polo Liso;3;R$ 137,00;R$ 411,00
65697;04/12/2019;Palladium Shopping Curitiba;Cueca Linho;1;R$ 93,00;R$ 93,00
65697;04/12/2019;Palladium Shopping Curitiba;Relógio Estampa;4;R$ 219,00;R$ 876,00
65697;04/12/2019;Palladium Shopping Curitiba;Calça;2;R$ 170,00;R$ 340,00
65698;04/12/2019;Shopping Eldorado;Pulseira;1;R$ 70,00;R$ 70,00
65698;04/12/2019;Shopping Eldorado;Relógio Estampa;2;R$ 219,00;R$ 438,00
65700;04/12/2019;Rio Mar Recife;Calça Xadrez;4;R$ 185,00;R$ 740,00
65701;04/12/2019;Shopping Morumbi;Tênis Estampa;1;R$ 256,00;R$ 256,00
65701;04/12/2019;Shopping Morumbi;Camiseta Xadrez;3;R$ 200,00;R$ 600,00
65702;04/12/2019;Center Shopping Uberlândia;Meia;2;R$ 30,00;R$ 60,00
65702;04/12/2019;Center Shopping Uberlândia;Short Xadrez;3;R$ 100,00;R$ 300,00
65703;04/12/2019;Shopping Eldorado;Calça;2;R$ 170,00;R$ 340,00
65704;04/12/2019;Rio Mar Recife;Gorro;2;R$ 80,00;R$ 160,00
65704;04/12/2019;Rio Mar Recife;Short;1;R$ 90,00;R$ 90,00
65705;04/12/2019;Rio Mar Recife;Short Listrado;1;R$ 102,00;R$ 102,00
65706;04/12/2019;Shopping Iguatemi Fortaleza;Cueca Listrado;2;R$ 67,00;R$ 134,00
65707;04/12/2019;Iguatemi Esplanada;Sunga Liso;1;R$ 114,00;R$ 114,00
65707;04/12/2019;Iguatemi Esplanada;Mochila Liso;1;R$ 276,00;R$ 276,00
65707;04/12/2019;Iguatemi Esplanada;Bermuda;1;R$ 150,00;R$ 150,00
65708;04/12/2019;Shopping Eldorado;Calça Linho;5;R$ 211,00;R$ 1.055,00
65708;04/12/2019;Shopping Eldorado;Mochila Xadrez;1;R$ 283,00;R$ 283,00
65709;04/12/2019;Norte Shopping;Camisa Gola V Estampa;4;R$ 118,00;R$ 472,00
65710;04/12/2019;Shopping Midway Mall;Pulseira Xadrez;2;R$ 87,00;R$ 174,00
65710;04/12/2019;Shopping Midway Mall;Sapato;2;R$ 350,00;R$ 700,00
65711;04/12/2019;Passei das Águas Shopping;Calça Linho;5;R$ 211,00;R$ 1.055,00
65711;04/12/2019;Passei das Águas Shopping;Tênis Linho;2;R$ 294,00;R$ 588,00
65714;04/12/2019;Iguatemi Esplanada;Cinto Liso;2;R$ 209,00;R$ 418,00
65714;04/12/2019;Iguatemi Esplanada;Camisa Liso;2;R$ 105,00;R$ 210,00
65717;04/12/2019;Shopping Eldorado;Sapato Xadrez;2;R$ 368,00;R$ 736,00
65717;04/12/2019;Shopping Eldorado;Pulseira Xadrez;4;R$ 87,00;R$ 348,00
65717;04/12/2019;Shopping Eldorado;Chinelo;4;R$ 60,00;R$ 240,00
65718;04/12/2019;Shopping Eldorado;Cinto Listrado;1;R$ 214,00;R$ 214,00
65719;04/12/2019;Shopping Center Leste Aricanduva;Camisa;4;R$ 100,00;R$ 400,00
65720;04/12/2019;Bourbon Shopping SP;Terno;4;R$ 700,00;R$ 2.800,00
65720;04/12/2019;Bourbon Shopping SP;Cinto Liso;1;R$ 209,00;R$ 209,00
65720;04/12/2019;Bourbon Shopping SP;Terno Liso;1;R$ 720,00;R$ 720,00
65720;04/12/2019;Bourbon Shopping SP;Casaco;2;R$ 250,00;R$ 500,00
65722;04/12/2019;Shopping Center Interlagos;Short Estampa;1;R$ 96,00;R$ 96,00
65722;04/12/2019;Shopping Center Interlagos;Short Estampa;2;R$ 96,00;R$ 192,00
65722;04/12/2019;Shopping Center Interlagos;Camisa Gola V;2;R$ 100,00;R$ 200,00
65723;04/12/2019;Shopping Ibirapuera;Camisa Gola V Listrado;5;R$ 116,00;R$ 580,00
65724;04/12/2019;Shopping União de Osasco;Chinelo Listrado;1;R$ 73,00;R$ 73,00
65724;04/12/2019;Shopping União de Osasco;Chinelo;2;R$ 60,00;R$ 120,00
65724;04/12/2019;Shopping União de Osasco;Terno Estampa;1;R$ 706,00;R$ 706,00
65725;04/12/2019;Shopping Vila Velha;Terno;3;R$ 700,00;R$ 2.100,00
65725;04/12/2019;Shopping Vila Velha;Pulseira Xadrez;1;R$ 87,00;R$ 87,00
65725;04/12/2019;Shopping Vila Velha;Camiseta;1;R$ 180,00;R$ 180,00
65727;04/12/2019;Ribeirão Shopping;Pulseira Estampa;3;R$ 87,00;R$ 261,00
65727;04/12/2019;Ribeirão Shopping;Tênis Xadrez;2;R$ 259,00;R$ 518,00
65728;04/12/2019;Ribeirão Shopping;Cueca Listrado;1;R$ 67,00;R$ 67,00
65729;04/12/2019;Iguatemi Campinas;Sapato Liso;3;R$ 368,00;R$ 1.104,00
65729;04/12/2019;Iguatemi Campinas;Relógio Listrado;2;R$ 218,00;R$ 436,00
65729;04/12/2019;Iguatemi Campinas;Meia Liso;1;R$ 38,00;R$ 38,00
65730;04/12/2019;Parque Dom Pedro Shopping;Mochila Liso;3;R$ 276,00;R$ 828,00
65731;04/12/2019;Shopping Midway Mall;Sunga Linho;4;R$ 149,00;R$ 596,00
65731;04/12/2019;Shopping Midway Mall;Gorro Listrado;2;R$ 97,00;R$ 194,00
65732;04/12/2019;Shopping Ibirapuera;Polo Linho;2;R$ 176,00;R$ 352,00
65732;04/12/2019;Shopping Ibirapuera;Tênis Liso;1;R$ 266,00;R$ 266,00
65735;04/12/2019;Bourbon Shopping SP;Bermuda Estampa;2;R$ 169,00;R$ 338,00
65735;04/12/2019;Bourbon Shopping SP;Cueca Linho;1;R$ 93,00;R$ 93,00
65736;04/12/2019;Shopping Eldorado;Terno Linho;1;R$ 750,00;R$ 750,00
65737;04/12/2019;Shopping Eldorado;Cueca Liso;3;R$ 69,00;R$ 207,00
65738;04/12/2019;Shopping Recife;Sunga Xadrez;2;R$ 116,00;R$ 232,00
65739;04/12/2019;Norte Shopping;Mochila;2;R$ 270,00;R$ 540,00
65739;04/12/2019;Norte Shopping;Camiseta Liso;2;R$ 187,00;R$ 374,00
65739;04/12/2019;Norte Shopping;Calça Listrado;2;R$ 181,00;R$ 362,00
65740;04/12/2019;Iguatemi Esplanada;Camisa Listrado;2;R$ 108,00;R$ 216,00
65742;04/12/2019;Passei das Águas Shopping;Bermuda Estampa;5;R$ 169,00;R$ 845,00
65742;04/12/2019;Passei das Águas Shopping;Calça Linho;4;R$ 211,00;R$ 844,00
65742;04/12/2019;Passei das Águas Shopping;Pulseira Xadrez;1;R$ 87,00;R$ 87,00
65743;04/12/2019;Iguatemi Campinas;Gorro Estampa;1;R$ 93,00;R$ 93,00
65743;04/12/2019;Iguatemi Campinas;Camiseta Linho;1;R$ 223,00;R$ 223,00
65743;04/12/2019;Iguatemi Campinas;Casaco;1;R$ 250,00;R$ 250,00
65743;04/12/2019;Iguatemi Campinas;Camiseta Listrado;4;R$ 197,00;R$ 788,00
65744;04/12/2019;Shopping Morumbi;Calça Liso;1;R$ 190,00;R$ 190,00
65744;04/12/2019;Shopping Morumbi;Chinelo Xadrez;1;R$ 66,00;R$ 66,00
65745;04/12/2019;Passei das Águas Shopping;Camiseta Estampa;1;R$ 196,00;R$ 196,00
65745;04/12/2019;Passei das Águas Shopping;Cinto;1;R$ 200,00;R$ 200,00
65746;04/12/2019;Passei das Águas Shopping;Camisa Listrado;1;R$ 108,00;R$ 108,00
65746;04/12/2019;Passei das Águas Shopping;Mochila Listrado;1;R$ 275,00;R$ 275,00
65747;04/12/2019;Iguatemi Esplanada;Polo Listrado;3;R$ 149,00;R$ 447,00
65747;04/12/2019;Iguatemi Esplanada;Chinelo Liso;5;R$ 71,00;R$ 355,00
65747;04/12/2019;Iguatemi Esplanada;Tênis;1;R$ 250,00;R$ 250,00
65747;04/12/2019;Iguatemi Esplanada;Bermuda Liso;5;R$ 157,00;R$ 785,00
65747;04/12/2019;Iguatemi Esplanada;Relógio Listrado;3;R$ 218,00;R$ 654,00
65748;04/12/2019;Shopping Center Interlagos;Cinto Linho;3;R$ 248,00;R$ 744,00
65749;04/12/2019;Iguatemi Esplanada;Gorro Listrado;1;R$ 97,00;R$ 97,00
65749;04/12/2019;Iguatemi Esplanada;Cueca Estampa;1;R$ 66,00;R$ 66,00
65749;04/12/2019;Iguatemi Esplanada;Meia Listrado;5;R$ 37,00;R$ 185,00
65750;04/12/2019;Iguatemi Campinas;Tênis;2;R$ 250,00;R$ 500,00
65750;04/12/2019;Iguatemi Campinas;Sapato Xadrez;3;R$ 368,00;R$ 1.104,00
65750;04/12/2019;Iguatemi Campinas;Bermuda;4;R$ 150,00;R$ 600,00
65751;04/12/2019;Shopping Midway Mall;Chinelo Xadrez;1;R$ 66,00;R$ 66,00
65752;04/12/2019;Passei das Águas Shopping;Mochila Listrado;1;R$ 275,00;R$ 275,00
65752;04/12/2019;Passei das Águas Shopping;Gorro Linho;2;R$ 124,00;R$ 248,00
65753;04/12/2019;Rio Mar Shopping Fortaleza;Terno;2;R$ 700,00;R$ 1.400,00
65753;04/12/2019;Rio Mar Shopping Fortaleza;Gorro Xadrez;1;R$ 85,00;R$ 85,00
65754;04/12/2019;Shopping União de Osasco;Cueca;2;R$ 50,00;R$ 100,00
65755;04/12/2019;Ribeirão Shopping;Polo Xadrez;2;R$ 142,00;R$ 284,00
65756;04/12/2019;Novo Shopping Ribeirão Preto;Terno Liso;2;R$ 720,00;R$ 1.440,00
65757;04/12/2019;Shopping Center Interlagos;Camiseta Liso;4;R$ 187,00;R$ 748,00
65757;04/12/2019;Shopping Center Interlagos;Bermuda Estampa;4;R$ 169,00;R$ 676,00
65757;04/12/2019;Shopping Center Interlagos;Casaco Listrado;3;R$ 269,00;R$ 807,00
65758;04/12/2019;Shopping Iguatemi Fortaleza;Relógio Linho;2;R$ 240,00;R$ 480,00
65758;04/12/2019;Shopping Iguatemi Fortaleza;Sunga Estampa;2;R$ 120,00;R$ 240,00
65758;04/12/2019;Shopping Iguatemi Fortaleza;Camisa Gola V Xadrez;2;R$ 107,00;R$ 214,00
65758;04/12/2019;Shopping Iguatemi Fortaleza;Camisa Gola V Liso;2;R$ 118,00;R$ 236,00
65759;04/12/2019;Shopping Ibirapuera;Sunga Estampa;4;R$ 120,00;R$ 480,00
65759;04/12/2019;Shopping Ibirapuera;Sapato;4;R$ 350,00;R$ 1.400,00
65760;04/12/2019;Shopping União de Osasco;Tênis Linho;5;R$ 294,00;R$ 1.470,00
65760;04/12/2019;Shopping União de Osasco;Calça Linho;2;R$ 211,00;R$ 422,00
65761;04/12/2019;Shopping União de Osasco;Meia Linho;1;R$ 78,00;R$ 78,00
65762;04/12/2019;Center Shopping Uberlândia;Tênis Linho;2;R$ 294,00;R$ 588,00
65762;04/12/2019;Center Shopping Uberlândia;Camisa Xadrez;1;R$ 105,00;R$ 105,00
65763;04/12/2019;Salvador Shopping;Gorro Liso;1;R$ 92,00;R$ 92,00
65764;04/12/2019;Shopping Center Leste Aricanduva;Sunga Xadrez;2;R$ 116,00;R$ 232,00
65764;04/12/2019;Shopping Center Leste Aricanduva;Bermuda Listrado;3;R$ 163,00;R$ 489,00
65764;04/12/2019;Shopping Center Leste Aricanduva;Camisa Gola V Linho;4;R$ 145,00;R$ 580,00
65764;04/12/2019;Shopping Center Leste Aricanduva;Short Liso;5;R$ 108,00;R$ 540,00
65765;04/12/2019;Shopping Iguatemi Fortaleza;Camiseta Listrado;1;R$ 197,00;R$ 197,00
65765;04/12/2019;Shopping Iguatemi Fortaleza;Cinto;4;R$ 200,00;R$ 800,00
65766;04/12/2019;Iguatemi Campinas;Meia Xadrez;1;R$ 41,00;R$ 41,00
65766;04/12/2019;Iguatemi Campinas;Camiseta Estampa;1;R$ 196,00;R$ 196,00
65766;04/12/2019;Iguatemi Campinas;Short Liso;2;R$ 108,00;R$ 216,00
65766;04/12/2019;Iguatemi Campinas;Relógio Liso;2;R$ 216,00;R$ 432,00
